,edgeid,coords
61,"(312213099, 367878741)","[(1.7077671, 41.3384196), (1.707646, 41.3382847), (1.7072488, 41.3376089), (1.7069986, 41.3373529), (1.706806, 41.3371773), (1.7066649, 41.3370998), (1.7065211, 41.3370523), (1.7064602, 41.3370345), (1.7063993, 41.3370289), (1.7062497, 41.3370538)]"
62,"(312213099, 367878712)","[(1.7077671, 41.3384196), (1.7080675, 41.338955), (1.7083352, 41.3393716), (1.7086506, 41.3398335), (1.7093454, 41.3407327), (1.7112861, 41.3431559), (1.7126387, 41.3448569), (1.7128212, 41.3450916), (1.7131506, 41.3455258), (1.7133393, 41.3457799), (1.7134885, 41.3459808)]"
63,"(312213116, 367878712)","[(1.7188721, 41.3497806), (1.7179951, 41.3495812), (1.717179, 41.3493869), (1.7169364, 41.3493216), (1.7167763, 41.3492724), (1.7166145, 41.3492167), (1.7164569, 41.3491537), (1.716271, 41.3490676), (1.7160925, 41.3489754), (1.7159205, 41.3488759), (1.7157723, 41.3487795), (1.7156295, 41.3486761), (1.7154959, 41.3485642), (1.7153388, 41.3484145), (1.7152397, 41.3483107), (1.7151373, 41.3481926), (1.7150363, 41.3480649), (1.7146671, 41.3475721), (1.7143305, 41.3471149), (1.7140669, 41.3467573), (1.7134885, 41.3459808)]"
64,"(312213116, 312213052)","[(1.7188721, 41.3497806), (1.7184301, 41.3496333), (1.7176008, 41.3494385), (1.7171019, 41.3493177), (1.7168385, 41.3492334), (1.7167477, 41.3491931), (1.7166804, 41.3491589), (1.7166159, 41.3491209), (1.7165622, 41.3490781), (1.7165241, 41.3490371), (1.7164916, 41.3489927), (1.7164662, 41.3489251), (1.7164531, 41.3488784), (1.7164425, 41.3488091), (1.7164388, 41.3487246), (1.7164323, 41.3486257), (1.7164221, 41.3485624), (1.7164099, 41.3485147), (1.7163938, 41.3484687), (1.7163657, 41.3484229), (1.7163291, 41.3483781), (1.7162837, 41.3483416), (1.716224, 41.3483028), (1.7161623, 41.348275), (1.7160882, 41.3482531), (1.7160091, 41.3482409), (1.7159164, 41.3482344), (1.7156807, 41.348236)]"
65,"(312213116, 312213121)","[(1.7188721, 41.3497806), (1.7196632, 41.3499618), (1.7205571, 41.3501651), (1.7211395, 41.3502965)]"
66,"(312213116, 603279251)","[(1.7188721, 41.3497806), (1.7184316, 41.3497258), (1.7177593, 41.3495873), (1.717543, 41.3495529), (1.7173809, 41.3495332), (1.7168195, 41.3494833)]"
67,"(312213121, 1770948777)","[(1.7211395, 41.3502965), (1.7213492, 41.3503154), (1.7215427, 41.3503569), (1.7216089, 41.3503602), (1.721668, 41.3503536), (1.7217259, 41.3503331), (1.7218257, 41.3502647)]"
68,"(312213121, 1770948776)","[(1.7211395, 41.3502965), (1.7213356, 41.3503575), (1.7214531, 41.3504032), (1.7215188, 41.3504407), (1.7215757, 41.3504893), (1.7216155, 41.350532), (1.7216902, 41.3506307)]"
69,"(312213121, 312213116)","[(1.7211395, 41.3502965), (1.7205571, 41.3501651), (1.7196632, 41.3499618), (1.7188721, 41.3497806)]"
70,"(312213243, 367878761)","[(1.7036471, 41.334509), (1.703897, 41.3346564), (1.7046781, 41.3350101), (1.7051165, 41.3352988), (1.7052871, 41.3354517), (1.7054463, 41.3356093), (1.7056184, 41.3359147), (1.7056612, 41.3360127), (1.7056948, 41.3361085), (1.7057661, 41.3363764), (1.7057635, 41.3364593), (1.7057486, 41.3365283), (1.7057103, 41.3365906), (1.7056577, 41.336641)]"
71,"(312213243, 367878788)","[(1.7036471, 41.334509), (1.7040291, 41.3345826), (1.7043953, 41.3346925), (1.7050485, 41.3349638), (1.7054291, 41.335172), (1.7058457, 41.3354131), (1.706157, 41.3355971), (1.7063142, 41.3356341), (1.7065655, 41.3356244)]"
72,"(312213243, 386583494)","[(1.7036471, 41.334509), (1.702982, 41.3342919), (1.7024643, 41.3341843), (1.7014925, 41.3340409), (1.7010136, 41.3340042), (1.7004746, 41.3339914), (1.7001433, 41.3340039), (1.697903, 41.3340885), (1.6956705, 41.334145), (1.6913468, 41.334145), (1.6889487, 41.3342218)]"
